Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
5/4/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,,19,0.125,0,3.5
5/5/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/6/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/7/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,,0,0.5,19,0.125,0,3.5
5/8/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
5/9/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
5/10/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,1,0,0.5,19,0.125,0,3.5
5/11/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/12/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,NaN,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/13/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,,0.1,0.5,NaN,0.6,NaN,0.1,NaN,NaN,-0.1,0.5,1.25,4,NaN,NaN,0.25,0.25,NaN,0.1,1.25,1,5,1,NaN,0.5,19,0.125,0,3.5
5/14/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,,0.1,0.5,NaN,0.6,NaN,0.1,4,0.75,-0.1,0.5,1.25,4,NaN,0,0.25,0.25,2,0.1,1.25,1,5,,0,0.5,19,0.125,0,3.5
5/15/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
5/16/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
5/17/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,NaN,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/18/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/19/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,NaN,NaN,0.6,3.5,0.1,4,1,-0.1,,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,NaN,0.125,0,3.5
5/20/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/21/2021,38,0.1,3.5,0.25,-0.75,NaN,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,,1.75,0,0.25,0.25,2,0.1,1.25,1,5,,0,0.5,19,0.125,0,3.5
5/22/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
5/23/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
5/24/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,,0.1,0.5,NaN,NaN,3.5,0.1,4,NaN,-0.1,0.5,NaN,4,1.75,NaN,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/25/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/26/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,NaN,0.1,NaN,1,-0.1,0.5,1.25,4,NaN,0,0.25,0.25,2,0.1,1.25,1,5,1,0,,19,0.125,0,3.5
5/27/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
5/28/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,,0,0.5,19,0.125,0,3.5
5/29/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
5/30/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
5/31/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,NaN,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
6/1/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,NaN,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,NaN,1,5,1,0,0.5,19,0.125,0,3.5
6/2/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
6/3/2021,38,0.1,NaN,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,NaN,1.25,1,5,1,0,,19,0.125,0,3.5
6/4/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,,0,0.5,19,0.125,0,3.5
6/5/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
6/6/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
6/7/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,NaN,0,NaN,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
6/8/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
6/9/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
6/10/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
6/11/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,,0,,19,0.125,0,3.5
6/12/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
6/13/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
6/14/2021,38,,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,NaN,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,,19,0.125,0,3.5
6/15/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,,19,0.125,0,3.5
6/16/2021,38,0.1,3.5,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,,19,0.125,0,NaN
6/17/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,NaN,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,,19,0.125,0,3.5
6/18/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,NaN,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,,0,0.5,19,0.125,0,3.5
6/19/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
6/20/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
6/21/2021,38,0.1,4.25,0.25,-0.75,NaN,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,,1.75,0,0.25,0.25,2,0.1,NaN,1,5.5,1,0,0.5,19,0.125,0,3.5
6/22/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,0.5,19,0.125,0,3.5
6/23/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,0.5,19,0.125,0,3.5
6/24/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,0.5,19,0.125,0,3.5
6/25/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,,NaN,0.5,19,0.125,0,3.5
6/26/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
6/27/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
6/28/2021,38,0.1,4.25,0.25,-0.75,NaN,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,0.5,19,0.125,0,3.5
6/29/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,,2,0.1,1.25,1,5.5,1,0,0.5,19,0.125,0,3.5
6/30/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,0.5,19,0.125,0,3.5
7/1/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,NaN,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,0.5,19,0.125,0,3.5
7/2/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,,0,0.5,19,0.125,0,3.5
7/3/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
7/4/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
7/5/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,NaN,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,0.5,19,0.125,0,3.5
7/6/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,NaN,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,0.5,19,0.125,0,3.5
7/7/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,1,0,0.5,19,0.125,0,3.5
7/8/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,1,0,0.5,19,0.125,0,3.5
7/9/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,,0,0.5,19,0.125,0,3.5
7/10/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
7/11/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
7/12/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,1,0,0.5,19,0.125,0,3.5
7/13/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,1,0,0.5,19,0.125,0,3.5
7/14/2021,38,0.1,4.25,0.25,-0.75,0.5,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,1,0,0.5,19,0.125,0,3.5
7/15/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,1,0,0.5,NaN,0.125,0,3.5
7/16/2021,38,0.1,4.25,0.25,-0.75,NaN,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,,0,0.5,19,0.125,0,3.5
7/17/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
7/18/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
7/19/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,1,0,0.5,19,0.125,0,3.5
7/20/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,NaN,0.1,4,1,-0.1,0.5,1.25,4.25,NaN,0,0.25,0.25,NaN,0.1,1.25,1,NaN,1,0,0.5,NaN,0.125,0,3.5
7/21/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,NaN,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,NaN,1,0,0.5,NaN,0.125,0,3.5
7/22/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,1,0,0.5,NaN,0.125,0,3.5
7/23/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,5.5,,0,0.5,NaN,0.125,0,3.5
7/24/2021,38,,NaN,,,NaN,,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
7/25/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
7/26/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,,19,0.125,0,3.5
7/27/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,0.9,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,0.5,19,0.125,0,3.5
7/28/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,,0.5,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,,2,0.1,1.25,1,6.5,1,0,,19,0.125,0,3.5
7/29/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,,2,0.1,1.25,1,6.5,1,0,0.5,19,0.125,0,3.5
7/30/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,,0,0.5,19,0.125,0,3.5
7/31/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
8/1/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
8/2/2021,38,,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,NaN,-0.1,0.5,NaN,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,0.5,19,0.125,0,3.5
8/3/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,0.5,19,0.125,0,3.5
8/4/2021,38,0.1,4.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,0.5,19,0.125,0,3.5
8/5/2021,38,0.1,5.25,0.25,-0.75,0.75,3.85,1.75,0.5,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,0.5,19,0.125,0,3.5
8/6/2021,38,0.1,5.25,0.25,-0.75,0.75,3.85,1.75,0.75,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,,0,0.5,19,0.125,0,3.5
8/7/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
8/8/2021,38,,NaN,,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
8/9/2021,38,0.1,5.25,0.25,-0.75,0.75,3.85,1.75,0.75,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,0.5,19,0.125,0,NaN
8/10/2021,38,0.1,5.25,0.25,-0.75,0.75,3.85,1.75,0.75,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,NaN,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,0.5,19,0.125,0,3.5
8/11/2021,38,0.1,5.25,0.25,-0.75,0.75,3.85,1.75,0.75,-0.5,0.1,0.5,NaN,1.2,NaN,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,0.5,19,0.125,0,3.5
8/12/2021,38,0.1,5.25,0.25,-0.75,0.75,3.85,1.75,0.75,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,6.5,1,0,,19,0.125,0,3.5
8/13/2021,38,0.1,5.25,0.25,-0.75,0.75,3.85,1.75,0.75,-0.5,0.1,0.5,NaN,1.2,3.5,0.1,4,1,-0.1,0.5,1.25,4.5,1.75,0,0.25,0.5,2,0.1,1.25,1,6.5,,0,0.5,19,0.125,0,3.5
